Address,AddressWithCountry,Country
"3D, Avenue de l'Hôpital, 5-2, 7000","3D, Avenue de l'Hôpital, 5-2, 7000, BE",BE
"25, Justitiestraat, Antwerpen, 2018","25, Justitiestraat, Antwerpen, 2018, BE",BE
"22, Zwanenlaan, 1640","22, Zwanenlaan, 1640, BE",BE
"1, Vlonderse Hoek, Tervuren, 3080","1, Vlonderse Hoek, Tervuren, 3080, BE",BE
"10, Baarlekouter, 9031","10, Baarlekouter, 9031, BE",BE
"40, Larkendreef, 2960","40, Larkendreef, 2960, BE",BE
"43, Rue Godecharle, Ixelles, 1050","43, Rue Godecharle, Ixelles, 1050, BE",BE
"94, Rue Massart, 7020","94, Rue Massart, 7020, BE",BE
"9A, Rue Préal, 6997","9A, Rue Préal, 6997, BE",BE
"82, Europaplein, 9060","82, Europaplein, 9060, BE",BE
"52, Ankerrui, 2000","52, Ankerrui, 2000, BE",BE
"52, Processieweg, 3560","52, Processieweg, 3560, BE",BE
"38, Dennenlaan, Oosterzele, 9860","38, Dennenlaan, Oosterzele, 9860, BE",BE
"16, Komijnstraat, 0001, 9000","16, Komijnstraat, 0001, 9000, BE",BE
"35, Avenue Pénélope, 0004, 1190","35, Avenue Pénélope, 0004, 1190, BE",BE
"62, Boulevard de la Résistance, 02.1, 1400","62, Boulevard de la Résistance, 02.1, 1400, BE",BE
"7, Meerhoef, Leopoldsburg, 3971","7, Meerhoef, Leopoldsburg, 3971, BE",BE
"29A, Groenstraat, Sint-Katelijne-Waver, 2860","29A, Groenstraat, Sint-Katelijne-Waver, 2860, BE",BE
"11, Gery Helderenberglaan, 9340","11, Gery Helderenberglaan, 9340, BE",BE
"2B, Berkenstraat, 8820","2B, Berkenstraat, 8820, BE",BE
"8, Speltreep, Assenede, 9960","8, Speltreep, Assenede, 9960, BE",BE
"39, Rue Berré, Jette, 1090","39, Rue Berré, Jette, 1090, BE",BE
"1, Rue des Carrières, 0302, 5000","1, Rue des Carrières, 0302, 5000, BE",BE
"1, Rue des Hauts Tiennes, 1420","1, Rue des Hauts Tiennes, 1420, BE",BE
"55, Boogschutterslaan, 3, 8310","55, Boogschutterslaan, 3, 8310, BE",BE
"33, Langemuren, 9400","33, Langemuren, 9400, BE",BE
"17, Dorperheidestraat, Pelt, 3900","17, Dorperheidestraat, Pelt, 3900, BE",BE
"11, Kattenhoflaan, GVR, 2960","11, Kattenhoflaan, GVR, 2960, BE",BE
"14, R. Van Ostaeyenlaan, Brecht, 2960","14, R. Van Ostaeyenlaan, Brecht, 2960, BE",BE
"78, Heerdweg, 9800","78, Heerdweg, 9800, BE",BE
"28, Avenue d'Itterbeek, 1eET, 1070","28, Avenue d'Itterbeek, 1eET, 1070, BE",BE
"2, Legeweg, Aalst, 9308","2, Legeweg, Aalst, 9308, BE",BE
"186A, Vakebuurtstraat, Maldegem, 9990","186A, Vakebuurtstraat, Maldegem, 9990, BE",BE
"12, Langveldstraat, Zonhoven, 3520","12, Langveldstraat, Zonhoven, 3520, BE",BE
"62, Rue du Méridien, 1210","62, Rue du Méridien, 1210, BE",BE
"114, Paul Parmentierlaan, Knokke-Heist, 8300","114, Paul Parmentierlaan, Knokke-Heist, 8300, BE",BE
"34A, Broedersstraat, Sint-Niklaas, 9100","34A, Broedersstraat, Sint-Niklaas, 9100, BE",BE
"2, Bosterhoutstraat, 8760","2, Bosterhoutstraat, 8760, BE",BE
"77, Rue du Chalet, 6792","77, Rue du Chalet, 6792, BE",BE
"46, Homborch, Uccle, 1180","46, Homborch, Uccle, 1180, BE",BE
"172, Eksterlaar, Borsbeek, 2150","172, Eksterlaar, Borsbeek, 2150, BE",BE
"68, Rue de Beaumont, 1390","68, Rue de Beaumont, 1390, BE",BE
"267, Spoorweglaan, 2610","267, Spoorweglaan, 2610, BE",BE
"60, Auguste Van Zandestraat, Sint-Agatha-Berchem, 1082","60, Auguste Van Zandestraat, Sint-Agatha-Berchem, 1082, BE",BE
"21, Leuterweg, Maasmechelen, 3630","21, Leuterweg, Maasmechelen, 3630, BE",BE
"196, Route de Namur, 6224","196, Route de Namur, 6224, BE",BE
"19, Rendries, 1540","19, Rendries, 1540, BE",BE
"14, Sparrestraat, Lievegem, 9920","14, Sparrestraat, Lievegem, 9920, BE",BE
"43, Millenniumhof, 3840","43, Millenniumhof, 3840, BE",BE
"105, Nieuwstraat, Rumst, 2840","105, Nieuwstraat, Rumst, 2840, BE",BE
"1, Dairomont, 00A1, 6698","1, Dairomont, 00A1, 6698, BE",BE
"29, Varsenareweg, 0P19, 8490","29, Varsenareweg, 0P19, 8490, BE",BE
"2C, Rue Lambermont, 1330","2C, Rue Lambermont, 1330, BE",BE
"72, Viaduct-Dam, 201, 2060","72, Viaduct-Dam, 201, 2060, BE",BE
"7, Cogelsplein, 201, 2100","7, Cogelsplein, 201, 2100, BE",BE
"11, Koningin Fabiolalaan, Knokke-Heist, 8300","11, Koningin Fabiolalaan, Knokke-Heist, 8300, BE",BE
"28, Rue Paul Janson, 4430","28, Rue Paul Janson, 4430, BE",BE
"22, Leeuwerikenlaan, Knokke-Heist, 8301","22, Leeuwerikenlaan, Knokke-Heist, 8301, BE",BE
"31, Schapenstraat, 3080","31, Schapenstraat, 3080, BE",BE
"16A, Volderstraat, 8700","16A, Volderstraat, 8700, BE",BE
"208, Rue Edith Cavell, 1180","208, Rue Edith Cavell, 1180, BE",BE
"9, Begoniastraat, 9120","9, Begoniastraat, 9120, BE",BE
"96, Emiel Vermeulenstraat, 2980","96, Emiel Vermeulenstraat, 2980, BE",BE
"140, Molenstraat, Dilbeek, 1700","140, Molenstraat, Dilbeek, 1700, BE",BE
"43, Rue Metsys, 1030","43, Rue Metsys, 1030, BE",BE
"1, Nachtegalenlaan, 8531","1, Nachtegalenlaan, 8531, BE",BE
"17, Vrombautstraat, Eeklo, 9900","17, Vrombautstraat, Eeklo, 9900, BE",BE
"243J, Genkersteenweg, 1.02, 3500","243J, Genkersteenweg, 1.02, 3500, BE",BE
"109, Driewilgenstraat, 3800","109, Driewilgenstraat, 3800, BE",BE
"3, R. Brulezstraat, 0001, 8370","3, R. Brulezstraat, 0001, 8370, BE",BE
"3, Wildstraat, Lommel, 3920","3, Wildstraat, Lommel, 3920, BE",BE
"140, Kneippstraat, 3600","140, Kneippstraat, 3600, BE",BE
"125, Guillaume Stassartlaan, 0001, 1070","125, Guillaume Stassartlaan, 0001, 1070, BE",BE
"126, Parc Résidentiel Le Bosquet, 6440","126, Parc Résidentiel Le Bosquet, 6440, BE",BE
"1761, rue Saint-Hubert","1761, rue Saint-Hubert, CA",CA
"4352, VENABLES ST","4352, VENABLES ST, CA",CA
"11959, 103A Ave, SURREY","11959, 103A Ave, SURREY, CA",CA
"748, Valley  Rd, Wentworth, Cumberland County","748, Valley  Rd, Wentworth, Cumberland County, CA",CA
"1487, boulevard Alexis-Nihon","1487, boulevard Alexis-Nihon, CA",CA
"308, Rue Bélanger","308, Rue Bélanger, CA",CA
"120, ELMIRA RD - RTE 16A, SOUTH LAKE, KNS","120, ELMIRA RD - RTE 16A, SOUTH LAKE, KNS, CA",CA
"52, Ivy Lea Place, City of Hamilton, Ontario","52, Ivy Lea Place, City of Hamilton, Ontario, CA",CA
"187, Argyle St, former Toronto","187, Argyle St, former Toronto, CA",CA
"87, GRASSINGTON CRES, Brampton","87, GRASSINGTON CRES, Brampton, CA",CA
"121, Rue Saint-Henri","121, Rue Saint-Henri, CA",CA
"630, rue Dominion","630, rue Dominion, CA",CA
"535, McNabb Street, SSM, P6B 1Z5","535, McNabb Street, SSM, P6B 1Z5, CA",CA
"1028, KINCORA DR NW","1028, KINCORA DR NW, CA",CA
"3280, OLIVIER-BEAULIEU, J4N0G8","3280, OLIVIER-BEAULIEU, J4N0G8, CA",CA
"1687, King Street East, 2L, City of Hamilton, Ontario","1687, King Street East, 2L, City of Hamilton, Ontario, CA",CA
Township Road 332,"Township Road 332, CA",CA
"453, Broadgreen Street, Pickering","453, Broadgreen Street, Pickering, CA",CA
"207, Allegretto Way","207, Allegretto Way, CA",CA
"1194, ROSENTHAL BOULEVARD NW","1194, ROSENTHAL BOULEVARD NW, CA",CA
"15, MAYO AVE","15, MAYO AVE, CA",CA
"1545, Albion Rd, Etobicoke","1545, Albion Rd, Etobicoke, CA",CA
"139, 52327 Range Road 233, STRATHCONA","139, 52327 Range Road 233, STRATHCONA, CA",CA
"7, ALEXANDER ST, ST. JOHN'S, A1E 2T5","7, ALEXANDER ST, ST. JOHN'S, A1E 2T5, CA",CA
"42, SKYE LN, NEW LONDON, QUN","42, SKYE LN, NEW LONDON, QUN, CA",CA
"3515, ALLAN DRIVE SW","3515, ALLAN DRIVE SW, CA",CA
"1115, rue Osborne","1115, rue Osborne, CA",CA
"688, Park St N, Peterborough","688, Park St N, Peterborough, CA",CA
"580, Ontario Street, Plympton-Wyoming","580, Ontario Street, Plympton-Wyoming, CA",CA
"77, Borers Creek Circle, City of Hamilton, Ontario","77, Borers Creek Circle, City of Hamilton, Ontario, CA",CA
"1219, Pelham Street, Pelham","1219, Pelham Street, Pelham, CA",CA
"78, Mountain Mint Cres, Kitchener","78, Mountain Mint Cres, Kitchener, CA",CA
"1254, 37e Avenue","1254, 37e Avenue, CA",CA
"710 Highway, Hatfield Point, Kings","710 Highway, Hatfield Point, Kings, CA",CA
"18417, 85 AVENUE NW","18417, 85 AVENUE NW, CA",CA
"4020, Twenty-third Street, Lincoln","4020, Twenty-third Street, Lincoln, CA",CA
"73, Gleave Terrace, Milton, ON","73, Gleave Terrace, Milton, ON, CA",CA
"4, Antrim Cres, Scarborough","4, Antrim Cres, Scarborough, CA",CA
"8904, 149 STREET NW","8904, 149 STREET NW, CA",CA
"989, ROBERT E. HOWLETT MEMORIAL DR, ST. JOHN'S","989, ROBERT E. HOWLETT MEMORIAL DR, ST. JOHN'S, CA",CA
"556435, MULMUR-MELANCTHON TOWNLINE","556435, MULMUR-MELANCTHON TOWNLINE, CA",CA
"Snyder Road, Searsville, Kings","Snyder Road, Searsville, Kings, CA",CA
"20, John Neil George  Rd, Estmere, Victoria County","20, John Neil George  Rd, Estmere, Victoria County, CA",CA
"78, SOUTH DR","78, SOUTH DR, CA",CA
"4, KINGS CROSS RD, 1412, Brampton","4, KINGS CROSS RD, 1412, Brampton, CA",CA
"2560, WARK ST, 106","2560, WARK ST, 106, CA",CA
"180, Bold Street, 2406, City of Hamilton, Ontario","180, Bold Street, 2406, City of Hamilton, Ontario, CA",CA
"476, ST ANDREWS POINT RD, LOWER MONTAGUE, KNS","476, ST ANDREWS POINT RD, LOWER MONTAGUE, KNS, CA",CA
"132, Rue Elzéar-Lafleur","132, Rue Elzéar-Lafleur, CA",CA
"13, Ronald Bloore Drive, Sarnia","13, Ronald Bloore Drive, Sarnia, CA",CA
"58, Rue Riverview","58, Rue Riverview, CA",CA
"2616, rue Légaré","2616, rue Légaré, CA",CA
"2229, UTLEY RD, Mississauga","2229, UTLEY RD, Mississauga, CA",CA
"165, boulevard Curé-Labelle","165, boulevard Curé-Labelle, CA",CA
"16, Oakdale AVE","16, Oakdale AVE, CA",CA
"19, Cedardale Avenue, St. Catharines","19, Cedardale Avenue, St. Catharines, CA",CA
"4, Archwood Cres, Scarborough","4, Archwood Cres, Scarborough, CA",CA
"1571, CAMPBELL AVE","1571, CAMPBELL AVE, CA",CA
"83, Braemar Ave, former Toronto","83, Braemar Ave, former Toronto, CA",CA
"496, Montcalm Dr, Peterborough","496, Montcalm Dr, Peterborough, CA",CA
"50, Halson Street, City of Hamilton, Ontario","50, Halson Street, City of Hamilton, Ontario, CA",CA
"22679, LOYALIST PARKWAY, 1","22679, LOYALIST PARKWAY, 1, CA",CA
"157, Mayla Drive, Oakville, ON","157, Mayla Drive, Oakville, ON, CA",CA
"25, BAYVIEW DR, HEAD OF ST MARGARETS BAY, B3Z 2A5","25, BAYVIEW DR, HEAD OF ST MARGARETS BAY, B3Z 2A5, CA",CA
"1780A, Eglinton Ave W, York","1780A, Eglinton Ave W, York, CA",CA
"898, EDWARD AVE","898, EDWARD AVE, CA",CA
"211, Beverley St, former Toronto","211, Beverley St, former Toronto, CA",CA
"2736, 620 Highway, Hamtown Corner, York","2736, 620 Highway, Hamtown Corner, York, CA",CA
"7848, Route 112, Hunters Home, Queens","7848, Route 112, Hunters Home, Queens, CA",CA
"217, MARTIN ST ST, PENTICTON","217, MARTIN ST ST, PENTICTON, CA",CA
"468, rue Hudon","468, rue Hudon, CA",CA
"640, rue Woodland","640, rue Woodland, CA",CA
"272, SOUTHAMPTON DR, COLE HARBOUR, B2V 2V9","272, SOUTHAMPTON DR, COLE HARBOUR, B2V 2V9, CA",CA
"924, KILKENNY DR","924, KILKENNY DR, CA",CA
"32, Glen Long Ave, North York","32, Glen Long Ave, North York, CA",CA
"7553, avenue Christophe-Colomb","7553, avenue Christophe-Colomb, CA",CA
"50, MacKenzie  Dr, Big Bras d'Or, Victoria County","50, MacKenzie  Dr, Big Bras d'Or, Victoria County, CA",CA
"2875, THACKER DR","2875, THACKER DR, CA",CA
"3818, TASCHEREAU, J4V2H9","3818, TASCHEREAU, J4V2H9, CA",CA
"58, Dundonald Street, St. Catharines, L2P3V6","58, Dundonald Street, St. Catharines, L2P3V6, CA",CA
"30, AUSTRALIA DR, Brampton","30, AUSTRALIA DR, Brampton, CA",CA
"1600, STRACHAN RD SE, 104, T1B4M3","1600, STRACHAN RD SE, 104, T1B4M3, CA",CA
"90, MICHIGAN AVE","90, MICHIGAN AVE, CA",CA
"4065, BRICKSTONE MEWS, 2805, Mississauga","4065, BRICKSTONE MEWS, 2805, Mississauga, CA",CA
"7725, avenue Querbes","7725, avenue Querbes, CA",CA
"13, Charnby Place, St. Catharines, L2N6Y3","13, Charnby Place, St. Catharines, L2N6Y3, CA",CA
"986, TURNERS RD","986, TURNERS RD, CA",CA
"83, WIGLE ST","83, WIGLE ST, CA",CA
"5, DORKING DR, BRAMPTON","5, DORKING DR, BRAMPTON, CA",CA
"5231, 41 Street Crescent, INNISFAIL","5231, 41 Street Crescent, INNISFAIL, CA",CA
"124, WALTHEN DR, CHARLOTTETOWN, QUN","124, WALTHEN DR, CHARLOTTETOWN, QUN, CA",CA
"170, Shepton Way, Scarborough","170, Shepton Way, Scarborough, CA",CA
"392, EARL ST","392, EARL ST, CA",CA
"5249, 20 AVENUE SW","5249, 20 AVENUE SW, CA",CA
"45-254, Marconi Blvd, 45","45-254, Marconi Blvd, 45, CA",CA
"11, HEDLEY CRT, BRAMPTON","11, HEDLEY CRT, BRAMPTON, CA",CA
"4133, ODESSA CT","4133, ODESSA CT, CA",CA
"1886, KIRKWALL CRES, Mississauga","1886, KIRKWALL CRES, Mississauga, CA",CA
"8, LISA ST, 508, BRAMPTON","8, LISA ST, 508, BRAMPTON, CA",CA
"23, KELLY K ST","23, KELLY K ST, CA",CA
"346, LIARD ST","346, LIARD ST, CA",CA
"1514, Shore View Pl","1514, Shore View Pl, CA",CA
"766, rue Provost","766, rue Provost, CA",CA
"286, Phillips Road, Charters Settlement, York","286, Phillips Road, Charters Settlement, York, CA",CA
"28, WALKER BOULEVARD, NEW TECUMSETH","28, WALKER BOULEVARD, NEW TECUMSETH, CA",CA
"44, OCEANIC DR, EAST LAWRENCETOWN, B2Z 1T6","44, OCEANIC DR, EAST LAWRENCETOWN, B2Z 1T6, CA",CA
"10, WEST VIEW BOULEVARD NW","10, WEST VIEW BOULEVARD NW, CA",CA
"126, Sandford Road, Uxbridge","126, Sandford Road, Uxbridge, CA",CA
"968, Ritchie  Dr, Halifax, Halifax County","968, Ritchie  Dr, Halifax, Halifax County, CA",CA
"8932, BARTLETT ST, LANGLEY","8932, BARTLETT ST, LANGLEY, CA",CA
"35, Rue Lacombe","35, Rue Lacombe, CA",CA
"11, GATEWOOD RD","11, GATEWOOD RD, CA",CA
"5187, Cordova Bay RD, 22","5187, Cordova Bay RD, 22, CA",CA
"50, MARIER AVE","50, MARIER AVE, CA",CA
"2074, rue Bordeaux","2074, rue Bordeaux, CA",CA
"2281, rue Noël","2281, rue Noël, CA",CA
"401, PALISADES WAY, Strathcona County, AB","401, PALISADES WAY, Strathcona County, AB, CA",CA
"109, Chemin Old Route 2, Saint-André, Madawaska","109, Chemin Old Route 2, Saint-André, Madawaska, CA",CA
"155, CROSSBOW PLACE, 114","155, CROSSBOW PLACE, 114, CA",CA
"7115, REXWOOD RD, 28, Mississauga","7115, REXWOOD RD, 28, Mississauga, CA",CA
"6315, 135 AVENUE NW, 205","6315, 135 AVENUE NW, 205, CA",CA
"9, CL CALVO SOTELO, 10748","9, CL CALVO SOTELO, 10748, ES",ES
"4, CL BELLAS ARTES (MONTECANAL), 50012","4, CL BELLAS ARTES (MONTECANAL), 50012, ES",ES
"38, CL JULIAN RABANEDO, 28045","38, CL JULIAN RABANEDO, 28045, ES",ES
"2, CL CAPITAN FERNANDEZ, 45730","2, CL CAPITAN FERNANDEZ, 45730, ES",ES
"4, CL ROMERO EL (URB EL MAPA), 19160","4, CL ROMERO EL (URB EL MAPA), 19160, ES",ES
"1, CL RIO MIRA, 16004","1, CL RIO MIRA, 16004, ES",ES
"90, CL ZARAGOZA, 22400","90, CL ZARAGOZA, 22400, ES",ES
"21, LG BERES, 15149","21, LG BERES, 15149, ES",ES
"63, CL ZARZA, 49600","63, CL ZARZA, 49600, ES",ES
"2, CL SAN MARCOS, 13730","2, CL SAN MARCOS, 13730, ES",ES
"S/N, CM CLAVO EL, 35469","S/N, CM CLAVO EL, 35469, ES",ES
"20, CL AGUSTIN PASTOR, 44141","20, CL AGUSTIN PASTOR, 44141, ES",ES
"18, LG SEARAS-ANGOARES, 36867","18, LG SEARAS-ANGOARES, 36867, ES",ES
"11, PS BUENAVISTA, 14857","11, PS BUENAVISTA, 14857, ES",ES
"336, DS DISEMINADO P 22, 46389","336, DS DISEMINADO P 22, 46389, ES",ES
"39, AV ALACANT, 3202","39, AV ALACANT, 3202, ES",ES
"23X, CL REP ARGENTINA-FR (FRESNO VALDUERN), 24765","23X, CL REP ARGENTINA-FR (FRESNO VALDUERN), 24765, ES",ES
"17, CL RIO, 28749","17, CL RIO, 28749, ES",ES
"147, AV PORTUGAL, 28011","147, AV PORTUGAL, 28011, ES",ES
"S/N, LG DISEMINADOS, 3410","S/N, LG DISEMINADOS, 3410, ES",ES
"171, UR SIERRA GORDA (UR8), 29120","171, UR SIERRA GORDA (UR8), 29120, ES",ES
"15, CL JOAN MARAGALL, 25182","15, CL JOAN MARAGALL, 25182, ES",ES
"161, CL ALAMOS UR.MONTELUZ, 18210","161, CL ALAMOS UR.MONTELUZ, 18210, ES",ES
"S/N, PL S-LF1, 4647","S/N, PL S-LF1, 4647, ES",ES
"S/N, LG PENA, 15819","S/N, LG PENA, 15819, ES",ES
"259, CL ROSAL (UR EL OLMILLO), 19162","259, CL ROSAL (UR EL OLMILLO), 19162, ES",ES
"S/N, LG VILLAMIR, 15145","S/N, LG VILLAMIR, 15145, ES",ES
"44, UR JUAN DE HERRERA (MAOÑO), 39108","44, UR JUAN DE HERRERA (MAOÑO), 39108, ES",ES
"13, CL MAREJADILLA, 21440","13, CL MAREJADILLA, 21440, ES",ES
"12, CL SAN ISIDRO, 6391","12, CL SAN ISIDRO, 6391, ES",ES
"S/N, LG BIEITE, 32419","S/N, LG BIEITE, 32419, ES",ES
"7, CL PPE ASTURIAS (BALSI) (BALSICAS), 30591","7, CL PPE ASTURIAS (BALSI) (BALSICAS), 30591, ES",ES
"2B, CS ESPIELLS, 8770","2B, CS ESPIELLS, 8770, ES",ES
"17, CL LINNE, DE, 8224","17, CL LINNE, DE, 8224, ES",ES
"180, UR GOLF DEL GUADIANA, 6008","180, UR GOLF DEL GUADIANA, 6008, ES",ES
"9, AV HNOS CANDELA SIR.-ORITO, 3679","9, AV HNOS CANDELA SIR.-ORITO, 3679, ES",ES
"12, CL VALLADOLID, 47680","12, CL VALLADOLID, 47680, ES",ES
"12, AV MONASTERIO-VS (VILLAVERDE S-VS), 24217","12, AV MONASTERIO-VS (VILLAVERDE S-VS), 24217, ES",ES
"34, CL JOSE LUIS OSBORNE VAZQUEZ, 11500","34, CL JOSE LUIS OSBORNE VAZQUEZ, 11500, ES",ES
"25, LG CIMA DA VILA, 32454","25, LG CIMA DA VILA, 32454, ES",ES
"454, LG LESTROBE, 15981","454, LG LESTROBE, 15981, ES",ES
"9, PZ ROMERO CASTILLA, 6293","9, PZ ROMERO CASTILLA, 6293, ES",ES
"20, CL GABR Y GALAN, 3202","20, CL GABR Y GALAN, 3202, ES",ES
"15, CL LA LUNA (VALIENTES) (VALIENTES), 30509","15, CL LA LUNA (VALIENTES) (VALIENTES), 30509, ES",ES
"71, CR CAMPORROBLES, 16350","71, CR CAMPORROBLES, 16350, ES",ES
"31, CJ 2-MV, 24736","31, CJ 2-MV, 24736, ES",ES
"19, PS PINAR, 28815","19, PS PINAR, 28815, ES",ES
"18, CL LOMO (PUERTO CRUZ), 38400","18, CL LOMO (PUERTO CRUZ), 38400, ES",ES
"4, CL PINTOR PINAZO, 46230","4, CL PINTOR PINAZO, 46230, ES",ES
"16, PZ ZAFIROS (GR), 11311","16, PZ ZAFIROS (GR), 11311, ES",ES
"S/N, UR DEVESA A, 32630","S/N, UR DEVESA A, 32630, ES",ES
"S/N, DS AFORES, 17400","S/N, DS AFORES, 17400, ES",ES
"302, DS DISEMINADOS, 14940","302, DS DISEMINADOS, 14940, ES",ES
"4, CL EMILIO ZOLA, 18800","4, CL EMILIO ZOLA, 18800, ES",ES
"347, UR PLA DE PELAC, 8795","347, UR PLA DE PELAC, 8795, ES",ES
"69, CL REAL (FUENTECAMBRON), 42342","69, CL REAL (FUENTECAMBRON), 42342, ES",ES
"9, CL ESCOBONAL (FINCA ESPAÑA), 38205","9, CL ESCOBONAL (FINCA ESPAÑA), 38205, ES",ES
"43, CL SANTA ANA, 11339","43, CL SANTA ANA, 11339, ES",ES
"50, CL CREU COBERTA, 8014","50, CL CREU COBERTA, 8014, ES",ES
"29C, CL PRADO, 45512","29C, CL PRADO, 45512, ES",ES
"53, UR PARRACES III, 40142","53, UR PARRACES III, 40142, ES",ES
"4, PASEO KALAMUTZ / KALAMUTZ PASEALEKUA, Imárcoain, Noáin (Valle de Elorz) / Noain (Elortzibar), Navarra, 31119","4, PASEO KALAMUTZ / KALAMUTZ PASEALEKUA, Imárcoain, Noáin (Valle de Elorz) / Noain (Elortzibar), Navarra, 31119, ES",ES
"19, CL REAL-GR (GRISUELA DEL PA), 24248","19, CL REAL-GR (GRISUELA DEL PA), 24248, ES",ES
"77D, CL ANTONIO NEBR-TC (TROBAJO CAMINO), 24009","77D, CL ANTONIO NEBR-TC (TROBAJO CAMINO), 24009, ES",ES
"12, LG CHORENTE, 15125","12, LG CHORENTE, 15125, ES",ES
"33, DS EXTRAMUROS, 41230","33, DS EXTRAMUROS, 41230, ES",ES
"4, CL PORTILLO, 37671","4, CL PORTILLO, 37671, ES",ES
"27, CL IGLESIA, 50612","27, CL IGLESIA, 50612, ES",ES
"16, CL TOMAS GOMEZ, 37727","16, CL TOMAS GOMEZ, 37727, ES",ES
"14, DS CA N'ORIACH, 8181","14, DS CA N'ORIACH, 8181, ES",ES
"S/N, LG VILALEN (A)-LOUREIRO, 36855","S/N, LG VILALEN (A)-LOUREIRO, 36855, ES",ES
"66, CL ALAMOS, 23120","66, CL ALAMOS, 23120, ES",ES
"2, CL JUAN AVELINO, 2160","2, CL JUAN AVELINO, 2160, ES",ES
"2, TR CANAL HORNOS, 49780","2, TR CANAL HORNOS, 49780, ES",ES
"21, LG ZANFOGA - PQ VILAPEDRE, 27614","21, LG ZANFOGA - PQ VILAPEDRE, 27614, ES",ES
"41, AV NIZA, 28022","41, AV NIZA, 28022, ES",ES
"20, CL JUAN MAMBRILLA, 47003","20, CL JUAN MAMBRILLA, 47003, ES",ES
"38, AV 1 DE MAYO (VALDENOCHES), 19197","38, AV 1 DE MAYO (VALDENOCHES), 19197, ES",ES
"S/N, CL DESERT DE LES PALMES, 46184","S/N, CL DESERT DE LES PALMES, 46184, ES",ES
"S/N, AL LOS CONEJOS II, 30509","S/N, AL LOS CONEJOS II, 30509, ES",ES
"91, CL MENENDEZ PELAYO, 3660","91, CL MENENDEZ PELAYO, 3660, ES",ES
"41, CM MERCEDES DE LAS (VEGA MERCEDES), 38208","41, CM MERCEDES DE LAS (VEGA MERCEDES), 38208, ES",ES
"S/N, CL PICA D'ESTATS, 8251","S/N, CL PICA D'ESTATS, 8251, ES",ES
"48, CL CAÑON, 6400","48, CL CAÑON, 6400, ES",ES
"10, CL SANGRE D CRISTO, 3670","10, CL SANGRE D CRISTO, 3670, ES",ES
"9B, CL GANADERIA, 22006","9B, CL GANADERIA, 22006, ES",ES
"15, RU VIÑA (DA)-AREALONGA, 36613","15, RU VIÑA (DA)-AREALONGA, 36613, ES",ES
"8A, CM HOYO DEL BARRIO INTERIOR (MOCANAL), 38916","8A, CM HOYO DEL BARRIO INTERIOR (MOCANAL), 38916, ES",ES
"S/N, LG GANDARA-PEITIEIROS, 36389","S/N, LG GANDARA-PEITIEIROS, 36389, ES",ES
"49, TN POLIGONO 52, 44400","49, TN POLIGONO 52, 44400, ES",ES
"68, CL CRISTOFOL COLOM, 8921","68, CL CRISTOFOL COLOM, 8921, ES",ES
"63, CL FORN DE CALÇ, DES, 7639","63, CL FORN DE CALÇ, DES, 7639, ES",ES
"12, PL CAMINO SAN MARTIN, 47239","12, PL CAMINO SAN MARTIN, 47239, ES",ES
"31, CL CAMARILLA, 19119","31, CL CAMARILLA, 19119, ES",ES
"10, CL CODORNIZ LA, 6010","10, CL CODORNIZ LA, 6010, ES",ES
"38, CL SANTA ANA, 16780","38, CL SANTA ANA, 16780, ES",ES
"32, PD SANTES CREUS","32, PD SANTES CREUS, ES",ES
"2, CL BOCINEGRO, 35660","2, CL BOCINEGRO, 35660, ES",ES
"S/N, LG SAN XIAO, 15806","S/N, LG SAN XIAO, 15806, ES",ES
"13, PS DEL ARTE, 47231","13, PS DEL ARTE, 47231, ES",ES
"9A, CL FRANCISCO GARCIA, 39491","9A, CL FRANCISCO GARCIA, 39491, ES",ES
"8, PB MONTOTO (Montoto), 9572","8, PB MONTOTO (Montoto), 9572, ES",ES
"15, CL CIRILO AMOROS, 46512","15, CL CIRILO AMOROS, 46512, ES",ES
"171, AV LIBERTAD-NV (NAVATEJERA-NV-D), 24193","171, AV LIBERTAD-NV (NAVATEJERA-NV-D), 24193, ES",ES
"S/N, CL DIECINUEVE DE ABRIL, 23740","S/N, CL DIECINUEVE DE ABRIL, 23740, ES",ES
"1, CL PP SR10 CALLE E, 21620","1, CL PP SR10 CALLE E, 21620, ES",ES
"11, BO FUENTE ESPANTO DEL, 29670","11, BO FUENTE ESPANTO DEL, 29670, ES",ES
"1, CL MAZA (LA), 39170","1, CL MAZA (LA), 39170, ES",ES
"8, CL ANGEL GUIMERA, 17450","8, CL ANGEL GUIMERA, 17450, ES",ES
"S/N, UR ALBA LISTE, 17404","S/N, UR ALBA LISTE, 17404, ES",ES
"23, CL BASTARDOS, 29200","23, CL BASTARDOS, 29200, ES",ES
"12, CL PUIG DE LA COVA (BONAVISTA), 43880","12, CL PUIG DE LA COVA (BONAVISTA), 43880, ES",ES
"24, CL MENDIZABAL, 35001","24, CL MENDIZABAL, 35001, ES",ES
"3, CL S LLUIS DE (MIAMI PLATJA), 43892","3, CL S LLUIS DE (MIAMI PLATJA), 43892, ES",ES
"11, CL UNION, 28110","11, CL UNION, 28110, ES",ES
"100, DS HORNILLO, 29650","100, DS HORNILLO, 29650, ES",ES
"2, PZ ESPAÑA, 26323","2, PZ ESPAÑA, 26323, ES",ES
